001  00242 | LR: 1.205000e-04 | Loss: 1.914 | Acc: 16.515% 
001  00243 | LR: 1.210000e-04 | Loss: 1.914 | Acc: 16.536% 
001  00244 | LR: 1.215000e-04 | Loss: 1.913 | Acc: 16.585% 
001  00245 | LR: 1.220000e-04 | Loss: 1.912 | Acc: 16.646% 
001  00246 | LR: 1.225000e-04 | Loss: 1.912 | Acc: 16.687% 
001  00247 | LR: 1.230000e-04 | Loss: 1.911 | Acc: 16.721% 
001  00248 | LR: 1.235000e-04 | Loss: 1.911 | Acc: 16.774% 
001  00249 | LR: 1.240000e-04 | Loss: 1.910 | Acc: 16.847% 
001  00250 | LR: 1.245000e-04 | Loss: 1.909 | Acc: 16.927% 
001  00251 | LR: 1.250000e-04 | Loss: 1.908 | Acc: 16.979% 
001  00252 | LR: 1.255000e-04 | Loss: 1.907 | Acc: 17.017% 
001  00253 | LR: 1.260000e-04 | Loss: 1.906 | Acc: 17.055% 
001  00254 | LR: 1.265000e-04 | Loss: 1.906 | Acc: 17.100% 
001  00255 | LR: 1.270000e-04 | Loss: 1.905 | Acc: 17.170% 
001  00256 | LR: 1.275000e-04 | Loss: 1.904 | Acc: 17.201% 
001  00257 | LR: 1.280000e-04 | Loss: 1.903 | Acc: 17.237% 
001  00258 | LR: 1.285000e-04 | Loss: 1.903 | Acc: 17.242% 
001  00259 | LR: 1.290000e-04 | Loss: 1.902 | Acc: 17.310% 
001  00260 | LR: 1.295000e-04 | Loss: 1.901 | Acc: 17.378% 
001  00261 | LR: 1.300000e-04 | Loss: 1.900 | Acc: 17.458% 
001  00262 | LR: 1.305000e-04 | Loss: 1.899 | Acc: 17.487% 
001  00263 | LR: 1.310000e-04 | Loss: 1.898 | Acc: 17.503% 
001  00264 | LR: 1.315000e-04 | Loss: 1.898 | Acc: 17.588% 
001  00265 | LR: 1.320000e-04 | Loss: 1.896 | Acc: 17.654% 
001  00266 | LR: 1.325000e-04 | Loss: 1.896 | Acc: 17.682% 
001  00267 | LR: 1.330000e-04 | Loss: 1.895 | Acc: 17.778% 
001  00268 | LR: 1.335000e-04 | Loss: 1.894 | Acc: 17.836% 
001  00269 | LR: 1.340000e-04 | Loss: 1.893 | Acc: 17.893% 
001  00270 | LR: 1.345000e-04 | Loss: 1.892 | Acc: 17.981% 
001  00271 | LR: 1.350000e-04 | Loss: 1.891 | Acc: 18.026% 
001  00272 | LR: 1.355000e-04 | Loss: 1.890 | Acc: 18.100% 
001  00273 | LR: 1.360000e-04 | Loss: 1.889 | Acc: 18.150% 
001  00274 | LR: 1.365000e-04 | Loss: 1.888 | Acc: 18.224% 
001  00275 | LR: 1.370000e-04 | Loss: 1.888 | Acc: 18.273% 
001  00276 | LR: 1.375000e-04 | Loss: 1.887 | Acc: 18.351% 
001  00277 | LR: 1.380000e-04 | Loss: 1.886 | Acc: 18.375% 
001  00278 | LR: 1.385000e-04 | Loss: 1.885 | Acc: 18.423% 
001  00279 | LR: 1.390000e-04 | Loss: 1.884 | Acc: 18.465% 
001  00280 | LR: 1.395000e-04 | Loss: 1.883 | Acc: 18.560% 
001  00281 | LR: 1.400000e-04 | Loss: 1.882 | Acc: 18.618% 
001  00282 | LR: 1.405000e-04 | Loss: 1.881 | Acc: 18.670% 
001  00283 | LR: 1.410000e-04 | Loss: 1.880 | Acc: 18.716% 
001  00284 | LR: 1.415000e-04 | Loss: 1.879 | Acc: 18.791% 
001  00285 | LR: 1.420000e-04 | Loss: 1.878 | Acc: 18.883% 
001  00286 | LR: 1.425000e-04 | Loss: 1.877 | Acc: 18.951% 
001  00287 | LR: 1.430000e-04 | Loss: 1.877 | Acc: 19.007% 
001  00288 | LR: 1.435000e-04 | Loss: 1.876 | Acc: 19.080% 
001  00289 | LR: 1.440000e-04 | Loss: 1.875 | Acc: 19.106% 
001  00290 | LR: 1.445000e-04 | Loss: 1.874 | Acc: 19.207% 
001  00291 | LR: 1.450000e-04 | Loss: 1.873 | Acc: 19.301% 
001  00292 | LR: 1.455000e-04 | Loss: 1.872 | Acc: 19.344% 
001  00293 | LR: 1.460000e-04 | Loss: 1.871 | Acc: 19.369% 
001  00294 | LR: 1.465000e-04 | Loss: 1.870 | Acc: 19.382% 
001  00295 | LR: 1.470000e-04 | Loss: 1.869 | Acc: 19.452% 
001  00296 | LR: 1.475000e-04 | Loss: 1.869 | Acc: 19.493% 
001  00297 | LR: 1.480000e-04 | Loss: 1.868 | Acc: 19.534% 
001  00298 | LR: 1.485000e-04 | Loss: 1.866 | Acc: 19.609% 
001  00299 | LR: 1.490000e-04 | Loss: 1.866 | Acc: 19.671% 
001  00300 | LR: 1.495000e-04 | Loss: 1.864 | Acc: 19.756% 
001  00301 | LR: 1.500000e-04 | Loss: 1.864 | Acc: 19.812% 
001  00302 | LR: 1.505000e-04 | Loss: 1.863 | Acc: 19.862% 
001  00303 | LR: 1.510000e-04 | Loss: 1.862 | Acc: 19.901% 
001  00304 | LR: 1.515000e-04 | Loss: 1.861 | Acc: 19.967% 
001  00305 | LR: 1.520000e-04 | Loss: 1.860 | Acc: 20.016% 
001  00306 | LR: 1.525000e-04 | Loss: 1.859 | Acc: 20.065% 
001  00307 | LR: 1.530000e-04 | Loss: 1.858 | Acc: 20.125% 
001  00308 | LR: 1.535000e-04 | Loss: 1.857 | Acc: 20.179% 
001  00309 | LR: 1.540000e-04 | Loss: 1.856 | Acc: 20.227% 
001  00310 | LR: 1.545000e-04 | Loss: 1.856 | Acc: 20.280% 
001  00311 | LR: 1.550000e-04 | Loss: 1.855 | Acc: 20.348% 
001  00312 | LR: 1.555000e-04 | Loss: 1.854 | Acc: 20.385% 
001  00313 | LR: 1.560000e-04 | Loss: 1.853 | Acc: 20.442% 
001  00314 | LR: 1.565000e-04 | Loss: 1.852 | Acc: 20.499% 
001  00315 | LR: 1.570000e-04 | Loss: 1.851 | Acc: 20.556% 
001  00316 | LR: 1.575000e-04 | Loss: 1.851 | Acc: 20.612% 
001  00317 | LR: 1.580000e-04 | Loss: 1.850 | Acc: 20.662% 
001  00318 | LR: 1.585000e-04 | Loss: 1.848 | Acc: 20.749% 
001  00319 | LR: 1.590000e-04 | Loss: 1.847 | Acc: 20.820% 
001  00320 | LR: 1.595000e-04 | Loss: 1.846 | Acc: 20.849% 
001  00321 | LR: 1.600000e-04 | Loss: 1.845 | Acc: 20.914% 
001  00322 | LR: 1.605000e-04 | Loss: 1.844 | Acc: 20.958% 
001  00323 | LR: 1.610000e-04 | Loss: 1.843 | Acc: 21.022% 
001  00324 | LR: 1.615000e-04 | Loss: 1.842 | Acc: 21.101% 
001  00325 | LR: 1.620000e-04 | Loss: 1.841 | Acc: 21.169% 
001  00326 | LR: 1.625000e-04 | Loss: 1.840 | Acc: 21.217% 
001  00327 | LR: 1.630000e-04 | Loss: 1.839 | Acc: 21.295% 
001  00328 | LR: 1.635000e-04 | Loss: 1.839 | Acc: 21.341% 
001  00329 | LR: 1.640000e-04 | Loss: 1.839 | Acc: 21.353% 
001  00330 | LR: 1.645000e-04 | Loss: 1.837 | Acc: 21.414% 
001  00331 | LR: 1.650000e-04 | Loss: 1.836 | Acc: 21.450% 
001  00332 | LR: 1.655000e-04 | Loss: 1.835 | Acc: 21.521% 
001  00333 | LR: 1.660000e-04 | Loss: 1.835 | Acc: 21.537% 
001  00334 | LR: 1.665000e-04 | Loss: 1.834 | Acc: 21.572% 
001  00335 | LR: 1.670000e-04 | Loss: 1.833 | Acc: 21.627% 
001  00336 | LR: 1.675000e-04 | Loss: 1.832 | Acc: 21.682% 
001  00337 | LR: 1.680000e-04 | Loss: 1.831 | Acc: 21.736% 
001  00338 | LR: 1.685000e-04 | Loss: 1.830 | Acc: 21.810% 
001  00339 | LR: 1.690000e-04 | Loss: 1.829 | Acc: 21.873% 
001  00340 | LR: 1.695000e-04 | Loss: 1.828 | Acc: 21.897% 
001  00341 | LR: 1.700000e-04 | Loss: 1.827 | Acc: 21.989% 
001  00342 | LR: 1.705000e-04 | Loss: 1.827 | Acc: 22.022% 
001  00343 | LR: 1.710000e-04 | Loss: 1.826 | Acc: 22.089% 
001  00344 | LR: 1.715000e-04 | Loss: 1.824 | Acc: 22.151% 
001  00345 | LR: 1.720000e-04 | Loss: 1.824 | Acc: 22.188% 
001  00346 | LR: 1.725000e-04 | Loss: 1.823 | Acc: 22.240% 
001  00347 | LR: 1.730000e-04 | Loss: 1.822 | Acc: 22.267% 
001  00348 | LR: 1.735000e-04 | Loss: 1.822 | Acc: 22.294% 
001  00349 | LR: 1.740000e-04 | Loss: 1.821 | Acc: 22.345% 
