001  00287 | LR: 1.430000e-04 | Loss: 1.899 | Acc: 17.700% 
001  00288 | LR: 1.435000e-04 | Loss: 1.898 | Acc: 17.778% 
001  00289 | LR: 1.440000e-04 | Loss: 1.898 | Acc: 17.785% 
001  00290 | LR: 1.445000e-04 | Loss: 1.898 | Acc: 17.793% 
001  00291 | LR: 1.450000e-04 | Loss: 1.897 | Acc: 17.869% 
001  00292 | LR: 1.455000e-04 | Loss: 1.896 | Acc: 17.945% 
001  00293 | LR: 1.460000e-04 | Loss: 1.897 | Acc: 17.952% 
001  00294 | LR: 1.465000e-04 | Loss: 1.897 | Acc: 18.027% 
001  00295 | LR: 1.470000e-04 | Loss: 1.897 | Acc: 18.034% 
001  00296 | LR: 1.475000e-04 | Loss: 1.896 | Acc: 18.074% 
001  00297 | LR: 1.480000e-04 | Loss: 1.895 | Acc: 18.249% 
001  00298 | LR: 1.485000e-04 | Loss: 1.894 | Acc: 18.322% 
001  00299 | LR: 1.490000e-04 | Loss: 1.894 | Acc: 18.395% 
001  00300 | LR: 1.495000e-04 | Loss: 1.892 | Acc: 18.433% 
001  00301 | LR: 1.500000e-04 | Loss: 1.893 | Acc: 18.439% 
001  00302 | LR: 1.505000e-04 | Loss: 1.891 | Acc: 18.543% 
001  00303 | LR: 1.510000e-04 | Loss: 1.891 | Acc: 18.515% 
001  00304 | LR: 1.515000e-04 | Loss: 1.890 | Acc: 18.618% 
001  00305 | LR: 1.520000e-04 | Loss: 1.889 | Acc: 18.689% 
001  00306 | LR: 1.525000e-04 | Loss: 1.889 | Acc: 18.725% 
001  00307 | LR: 1.530000e-04 | Loss: 1.889 | Acc: 18.730% 
001  00308 | LR: 1.535000e-04 | Loss: 1.888 | Acc: 18.766% 
001  00309 | LR: 1.540000e-04 | Loss: 1.888 | Acc: 18.770% 
001  00310 | LR: 1.545000e-04 | Loss: 1.887 | Acc: 18.774% 
001  00311 | LR: 1.550000e-04 | Loss: 1.887 | Acc: 18.810% 
001  00312 | LR: 1.555000e-04 | Loss: 1.887 | Acc: 18.782% 
001  00313 | LR: 1.560000e-04 | Loss: 1.887 | Acc: 18.818% 
001  00314 | LR: 1.565000e-04 | Loss: 1.886 | Acc: 18.790% 
001  00315 | LR: 1.570000e-04 | Loss: 1.885 | Acc: 18.762% 
001  00316 | LR: 1.575000e-04 | Loss: 1.885 | Acc: 18.797% 
001  00317 | LR: 1.580000e-04 | Loss: 1.884 | Acc: 18.864% 
001  00318 | LR: 1.585000e-04 | Loss: 1.884 | Acc: 18.836% 
001  00319 | LR: 1.590000e-04 | Loss: 1.883 | Acc: 18.934% 
001  00320 | LR: 1.595000e-04 | Loss: 1.883 | Acc: 19.000% 
001  00321 | LR: 1.600000e-04 | Loss: 1.882 | Acc: 19.003% 
001  00322 | LR: 1.605000e-04 | Loss: 1.882 | Acc: 18.975% 
001  00323 | LR: 1.610000e-04 | Loss: 1.882 | Acc: 19.040% 
001  00324 | LR: 1.615000e-04 | Loss: 1.881 | Acc: 19.105% 
001  00325 | LR: 1.620000e-04 | Loss: 1.880 | Acc: 19.138% 
001  00326 | LR: 1.625000e-04 | Loss: 1.880 | Acc: 19.233% 
001  00327 | LR: 1.630000e-04 | Loss: 1.880 | Acc: 19.205% 
001  00328 | LR: 1.635000e-04 | Loss: 1.881 | Acc: 19.146% 
001  00329 | LR: 1.640000e-04 | Loss: 1.881 | Acc: 19.149% 
001  00330 | LR: 1.645000e-04 | Loss: 1.881 | Acc: 19.182% 
001  00331 | LR: 1.650000e-04 | Loss: 1.881 | Acc: 19.124% 
001  00332 | LR: 1.655000e-04 | Loss: 1.881 | Acc: 19.127% 
001  00333 | LR: 1.660000e-04 | Loss: 1.881 | Acc: 19.219% 
001  00334 | LR: 1.665000e-04 | Loss: 1.880 | Acc: 19.281% 
001  00335 | LR: 1.670000e-04 | Loss: 1.880 | Acc: 19.343% 
001  00336 | LR: 1.675000e-04 | Loss: 1.879 | Acc: 19.435% 
001  00337 | LR: 1.680000e-04 | Loss: 1.878 | Acc: 19.466% 
001  00338 | LR: 1.685000e-04 | Loss: 1.878 | Acc: 19.467% 
001  00339 | LR: 1.690000e-04 | Loss: 1.877 | Acc: 19.617% 
001  00340 | LR: 1.695000e-04 | Loss: 1.876 | Acc: 19.735% 
001  00341 | LR: 1.700000e-04 | Loss: 1.875 | Acc: 19.795% 
001  00342 | LR: 1.705000e-04 | Loss: 1.875 | Acc: 19.795% 
001  00343 | LR: 1.710000e-04 | Loss: 1.874 | Acc: 19.913% 
001  00344 | LR: 1.715000e-04 | Loss: 1.874 | Acc: 19.913% 
001  00345 | LR: 1.720000e-04 | Loss: 1.874 | Acc: 19.913% 
001  00346 | LR: 1.725000e-04 | Loss: 1.873 | Acc: 19.971% 
